assertion_uid,source_text_kind,c1_value_unit,c1_detail,evidence_span_relocated,c2_quantity,c2_detail,c3_applicability,c3_detail,c4_scope,c4_detail,c5_status,c5_detail,c6_species,c6_detail,c7_duplication,c7_detail,under_attributed,verdict,error_criteria,paper_id,entity_id,classification,printed_figure_number,panel,source_series,quantity,value,unit,species,assertion_status,source_kind,bound_at_scope,family,raw_evidence,evidence_locator
10.1039_d0cp03358h::10.1039_d0cp03358h-E025::3,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E025,experimental_profile,9,b,2000 nm,flow_rate,150,sccm,N2,approximate,methods,method,flow,flow rate of 150 sccm,methods section
10.1039_d0cp03358h::10.1039_d0cp03358h-E027::1,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E027,experimental_profile,9,c,500 nm,working_pressure,3,hPa,,approximate,methods,method,pressure,process pressure was ca. 3 hPa,methods section
10.1039_d0cp03358h::10.1039_d0cp03358h-E036::2,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E036,experimental_profile,9,f,500 cycles,deposition_temperature,300,°C,,direct,methods,method,temperature,grown at 300 °C,methods section
10.1039_d0cp03358h::10.1039_d0cp03358h-E037::3,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E037,experimental_profile,9,f,1000 cycles,flow_rate,150,sccm,N2,approximate,methods,method,flow,flow rate of 150 sccm,methods section
10.1039_d0cp03358h::10.1039_d0cp03358h-E038::5,"caption (full, pressure path)",pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E038,simulation,10,a,100 nm,carrier_gas_partial_pressure,300,Pa,N2,direct,caption,figure,pressure,p B = 300 Pa,figure 10 caption
10.1039_d0cp03358h::10.1039_d0cp03358h-E044::1,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E044,simulation,10,b,200 nm,working_pressure,3,hPa,,approximate,methods,method,pressure,process pressure was ca. 3 hPa,methods section
10.1039_d0cp03358h::10.1039_d0cp03358h-E045::4,"caption (full, pressure path)",pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E045,simulation,10,b,500 nm,precursor_partial_pressure,65,Pa,TMA,direct,caption,figure,pressure,p A0 = 65 Pa,figure 10 caption
10.1039_d0cp03358h::10.1039_d0cp03358h-E047::4,"caption (full, pressure path)",pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E047,simulation,10,b,2000 nm,precursor_partial_pressure,65,Pa,TMA,direct,caption,figure,pressure,p A0 = 65 Pa,figure 10 caption
10.1039_d0cp03358h::10.1039_d0cp03358h-E048::3,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E048,simulation,10,c,100 nm,flow_rate,150,sccm,N2,approximate,methods,method,flow,flow rate of 150 sccm,methods section
10.1039_d0cp03358h::10.1039_d0cp03358h-E052::5,"caption (full, pressure path)",pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E052,simulation,10,c,2000 nm,carrier_gas_partial_pressure,300,Pa,N2,direct,caption,figure,pressure,p B = 300 Pa,figure 10 caption
10.1039_d0cp03358h::10.1039_d0cp03358h-E053::4,"caption (full, pressure path)",pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E053,simulation,10,d,100 cycles,precursor_partial_pressure,65,Pa,TMA,direct,caption,figure,pressure,p A0 = 65 Pa,figure 10 caption
10.1039_d0cp03358h::10.1039_d0cp03358h-E054::1,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E054,simulation,10,d,250 cycles,working_pressure,3,hPa,,approximate,methods,method,pressure,process pressure was ca. 3 hPa,methods section
10.1039_d0cp03358h::10.1039_d0cp03358h-E058::5,"caption (full, pressure path)",pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E058,simulation,10,e,100 cycles,carrier_gas_partial_pressure,300,Pa,N2,direct,caption,figure,pressure,p B = 300 Pa,figure 10 caption
10.1039_d0cp03358h::10.1039_d0cp03358h-E066::1,caption panel clause,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E066,simulation,10,f,1000 cycles,growth_per_cycle,0.098,nm/cycle,,direct,caption,panel,gpc,gpc s at = 0.098 nm,"figure 10 caption, panel (f)"
10.1039_d0cp03358h::10.1039_d0cp03358h-E066::4,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E066,simulation,10,f,1000 cycles,working_pressure,3,hPa,,approximate,methods,method,pressure,process pressure was ca. 3 hPa,methods section
10.1039_d0cp03358h::10.1039_d0cp03358h-E067::2,caption panel clause,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E067,simulation,10,f,2000 cycles,precursor_partial_pressure,65,Pa,TMA,direct,caption,panel,pressure,p A0 = 65 Pa,"figure 10 caption, panel (f)"
10.1039_d0cp03358h::10.1039_d0cp03358h-E068::0,series label,pass,,False,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E068,experimental_profile,11,a,0.1 s,pulse_time,0.1,s,TMA,direct,series_label,series,pulse,0.1 s,series label '0.1 s' (axis 'TMA pulse time')
10.1039_d0cp03358h::10.1039_d0cp03358h-E069::0,series label,pass,,False,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E069,experimental_profile,11,a,0.2 s,pulse_time,0.2,s,TMA,direct,series_label,series,pulse,0.2 s,series label '0.2 s' (axis 'TMA pulse time')
10.1039_d0cp03358h::10.1039_d0cp03358h-E070::2,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E070,experimental_profile,11,a,0.4 s,feature_height,500,nm,,direct,body,figure,geometry,channel height of 500 nm,document.md near Fig 11
10.1039_d0cp03358h::10.1039_d0cp03358h-E070::5,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E070,experimental_profile,11,a,0.4 s,flow_rate,150,sccm,N2,approximate,methods,method,flow,flow rate of 150 sccm,methods section
10.1039_d0cp03358h::10.1039_d0cp03358h-E071::0,series label,pass,,False,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E071,experimental_profile,11,b,1 s,purge_time,1,s,,direct,series_label,series,purge,1 s,series label '1 s' (axis 'purge time')
10.1039_d0cp03358h::10.1039_d0cp03358h-E072::5,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h-E072,experimental_profile,11,b,4 s,flow_rate,150,sccm,N2,approximate,methods,method,flow,flow rate of 150 sccm,methods section
10.1039_d3dt01824e::10.1039_d3dt01824e-E000::5,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d3dt01824e,10.1039_d3dt01824e-E000,discrete_experimental_sweep,2,a,Si,flow_rate,150,sccm,,direct,methods,method,flow,150 sccm,methods section
10.1039_d3dt01824e::10.1039_d3dt01824e-E007::4,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d3dt01824e,10.1039_d3dt01824e-E007,multi_output_measurement,7,b,200 °C,flow_rate,80,sccm,N2,direct,methods,method,flow,80 sccm,methods section
10.1039_d3dt01824e::10.1039_d3dt01824e-E008::3,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d3dt01824e,10.1039_d3dt01824e-E008,multi_output_measurement,7,c,250 °C,working_pressure,-8,Torr,,direct,methods,method,pressure,chamber pressure was maintained at 3 -8 Torr,methods section
10.1039_d3dt01824e::10.1039_d3dt01824e-E011::0,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d3dt01824e,10.1039_d3dt01824e-E011,multi_output_measurement,8,a,ET=2min,deposition_temperature,200,°C,,direct,body,figure,temperature,substrate temperature of 200 °C,document.md near Fig 8
10.1039_d3dt01824e::10.1039_d3dt01824e-E014::0,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d3dt01824e,10.1039_d3dt01824e-E014,multi_output_measurement,8,a,ET=15 min,deposition_temperature,200,°C,,direct,body,figure,temperature,substrate temperature of 200 °C,document.md near Fig 8
10.1039_d3dt01824e::10.1039_d3dt01824e-E016::2,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d3dt01824e,10.1039_d3dt01824e-E016,multi_output_measurement,8,b,ET=2min,working_pressure,-8,Torr,,direct,methods,method,pressure,chamber pressure was maintained at 3 -8 Torr,methods section
10.1039_d3dt01824e::10.1039_d3dt01824e-E017::0,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d3dt01824e,10.1039_d3dt01824e-E017,multi_output_measurement,8,b,ET=5min,deposition_temperature,200,°C,,direct,body,figure,temperature,substrate temperature of 200 °C,document.md near Fig 8
10.1039_d3dt01824e::10.1039_d3dt01824e-E018::1,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d3dt01824e,10.1039_d3dt01824e-E018,multi_output_measurement,8,b,ET=10min,cycle_number,1500,cycle,,direct,body,figure,cycle,1500 cycles,document.md near Fig 8
10.1039_d3dt01824e::10.1039_d3dt01824e-E018::4,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d3dt01824e,10.1039_d3dt01824e-E018,multi_output_measurement,8,b,ET=10min,flow_rate,150,sccm,,direct,methods,method,flow,150 sccm,methods section
10.1039_d3ra05217f::10.1039_d3ra05217f-E005::1,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d3ra05217f,10.1039_d3ra05217f-E005,unknown,3,b,Y(sBuCp)3,bubbler_pressure,0.1,Torr,vapor,direct,body,figure,pressure,ched alkyl structure slightly improved the vapor pressure. Fig. 3(a) shows the TGA curves for Y( s BuCp)3 and conv,document.md near Fig 3
10.1039_d3ra05217f::10.1039_d3ra05217f-E006::0,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d3ra05217f,10.1039_d3ra05217f-E006,unknown,3,b,Y(nBuCp)3,deposition_temperature,350,°C,,direct,methods,method,temperature,deposition temperature was varied from 200 to 350 °C,methods section
10.1039_d3ra05217f::10.1039_d3ra05217f-E035::0,caption panel clause,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d3ra05217f,10.1039_d3ra05217f-E035,unknown,8,b,<single>,deposition_temperature,300,°C,,direct,caption,panel,temperature,deposition temperature for the Y2O3 layer was 300 °C,"figure 8 caption, panel (b)"
10.1063_1.5028178::10.1063_1.5028178-E000::5,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1063_1.5028178,10.1063_1.5028178-E000,simulation,2,a,0.1 s,working_pressure,300,Pa,,approximate,methods,method,pressure,2O3 and TiO2 during the runs were appr. 300 Pa. The LHAR structures were inspected optically after the ALD before and after removing the membrane. The film grow,methods section
10.1063_1.5028178::10.1063_1.5028178-E002::1,caption,pass,,False,unverifiable,re-typed as [],pass,,pass,,unverifiable,re-derived None vs stored 'direct',pass,,pass,,False,correct,,10.1063_1.5028178,10.1063_1.5028178-E002,simulation,2,a,0.02 s,temperature,500,K,,direct,caption,figure,temperature,500K,figure caption
10.1063_1.5028178::10.1063_1.5028178-E002::3,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1063_1.5028178,10.1063_1.5028178-E002,simulation,2,a,0.02 s,flow_rate,150,sccm,N2,approximate,methods,method,flow,150 sccm,methods section
10.1063_1.5028178::10.1063_1.5028178-E004::3,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1063_1.5028178,10.1063_1.5028178-E004,simulation,3,a,0.01 s,flow_rate,150,sccm,N2,approximate,methods,method,flow,150 sccm,methods section
10.1063_1.5028178::10.1063_1.5028178-E005::5,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1063_1.5028178,10.1063_1.5028178-E005,simulation,3,a,0.02 s,working_pressure,300,Pa,,approximate,methods,method,pressure,2O3 and TiO2 during the runs were appr. 300 Pa. The LHAR structures were inspected optically after the ALD before and after removing the membrane. The film grow,methods section
10.1063_1.5028178::10.1063_1.5028178-E010::1,caption,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1063_1.5028178,10.1063_1.5028178-E010,simulation,4,a,0.5 µm,cycle_number,1000,cycle,,direct,caption,figure,cycle,1000 cycles,figure 4 caption
10.1063_1.5028178::10.1063_1.5028178-E011::1,caption,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1063_1.5028178,10.1063_1.5028178-E011,simulation,4,a,0.2 µm,cycle_number,1000,cycle,,direct,caption,figure,cycle,1000 cycles,figure 4 caption
10.1063_1.5028178::10.1063_1.5028178-E015::2,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1063_1.5028178,10.1063_1.5028178-E015,fit,6,a,Fitting result,generic_pressure,100,Pa,,direct,methods,method,pressure,"used: H ¼ 0.5 l m , W ¼ 0.1 mm, p A0 ¼ 100Pa, M A ¼ 0.0749 kg/mol, d A ¼ 591pm, M B ¼ 0.028 kg/mol, d B ¼ 374pm, p B ¼ 300 Pa, q ¼ 5 /C2 10 18 m -2 , T ¼ 500K, ",methods section
10.1063_1.5028178::10.1063_1.5028178-E017::0,caption,pass,,True,unverifiable,re-typed as [],pass,,pass,,unverifiable,re-derived None vs stored 'approximate',pass,,pass,,False,correct,,10.1063_1.5028178,10.1063_1.5028178-E017,fit,7,a,Fitting result,cycle_number,1000,cycle,,approximate,caption,figure,cycle,1000cycle,figure caption
10.1063_1.5028178::10.1063_1.5028178-E018::2,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1063_1.5028178,10.1063_1.5028178-E018,experimental_profile,7,a,Measured,generic_pressure,100,Pa,,direct,methods,method,pressure,"used: H ¼ 0.5 l m , W ¼ 0.1 mm, p A0 ¼ 100Pa, M A ¼ 0.0749 kg/mol, d A ¼ 591pm, M B ¼ 0.028 kg/mol, d B ¼ 374pm, p B ¼ 300 Pa, q ¼ 5 /C2 10 18 m -2 , T ¼ 500K, ",methods section
10.1116_1.4892385::10.1116_1.4892385-E000::0,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1116_1.4892385,10.1116_1.4892385-E000,simulation,2,a,10^22 m^-3,pulse_time,10,s,,direct,body,figure,pulse,exposure time is set to t ¼ 10 s,document.md near Fig 2
10.1116_1.4892385::10.1116_1.4892385-E001::4,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1116_1.4892385,10.1116_1.4892385-E001,simulation,2,a,4·10^22 m^-3,pulse_time,8,s,Ar,direct,methods,method,pulse,exposure (8s,methods section
10.1116_6.0002154::10.1116_6.0002154-E012::1,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1116_6.0002154,10.1116_6.0002154-E012,discrete_experimental_sweep,4,c,Mo,bubbler_pressure,0.4,Torr,vapor,direct,body,figure,pressure,in films were deposited using the synthesized Mo precursor. Figure 4 shows AES data of MoNx films deposited,document.md near Fig 4
10.1116_6.0002154::10.1116_6.0002154-E014::0,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1116_6.0002154,10.1116_6.0002154-E014,discrete_experimental_sweep,4,c,N,working_pressure,0.5,Torr,,direct,methods,method,pressure,process pressure was kept constant at 0.5 Torr,methods section
10.1116_6.0002436::10.1116_6.0002436-E001::1,caption panel clause,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1116_6.0002436,10.1116_6.0002436-E001,discrete_experimental_sweep,1,b,SUP,purge_time,20,s,,direct,caption,panel,purge,purge + O 3 + 20 s,"figure 1 caption, panel (b)"
10.1116_6.0002436::10.1116_6.0002436-E013::1,caption,pass,,True,unverifiable,re-typed as [],pass,,pass,,unverifiable,re-derived None vs stored 'direct',pass,,pass,,False,correct,,10.1116_6.0002436,10.1116_6.0002436-E013,multi_output_measurement,4,a,200°C,temperature,350,°C,,direct,caption,figure,temperature,350 °C,figure caption
10.1116_6.0002436::10.1116_6.0002436-E027::1,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1116_6.0002436,10.1116_6.0002436-E027,multi_output_measurement,6,a,iPrCp-Mo As dep,pulse_time,40,s,O3,direct,methods,method,pulse,pulsed for 4 and 40 s,methods section
10.1116_6.0002804::10.1116_6.0002804-E001::1,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1116_6.0002804,10.1116_6.0002804-E001,discrete_experimental_sweep,1,b,<single>,cycle_number,400,cycle,,direct,methods,method,cycle,400 ALD cycles,methods section
10.1116_6.0002804::10.1116_6.0002804-E001::2,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1116_6.0002804,10.1116_6.0002804-E001,discrete_experimental_sweep,1,b,<single>,pulse_time,1,s,MoCl2O2,direct,methods,method,pulse,pulse of 1s,methods section
10.1116_6.0002804::10.1116_6.0002804-E004::0,caption preamble,pass,,True,unverifiable,re-typed as [],pass,,pass,,unverifiable,re-derived None vs stored 'direct',pass,,pass,,False,correct,,10.1116_6.0002804,10.1116_6.0002804-E004,discrete_experimental_sweep,1,e,<single>,temperature,350,°C,,direct,caption,figure,temperature,350 °C,figure caption
10.1116_6.0002804::10.1116_6.0002804-E008::0,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1116_6.0002804,10.1116_6.0002804-E008,discrete_experimental_sweep,2,a,ALD XRR,growth_per_cycle,0.022,nm/cycle,,direct,body,figure,gpc,0.022 nm/cycle,document.md near Fig 2
10.1116_6.0002804::10.1116_6.0002804-E011::1,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1116_6.0002804,10.1116_6.0002804-E011,unknown,4,b,H2O,pulse_time,1,s,at-H,direct,body,figure,pulse,pulse of 1s,document.md near Fig 4
10.1116_6.0002804::10.1116_6.0002804-E016::0,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1116_6.0002804,10.1116_6.0002804-E016,discrete_experimental_sweep,5,,O,cycle_number,400,cycle,,direct,methods,method,cycle,400 ALD cycles,methods section
10.1116_6.0002804::10.1116_6.0002804-E018::0,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1116_6.0002804,10.1116_6.0002804-E018,discrete_experimental_sweep,5,,C,cycle_number,400,cycle,,direct,methods,method,cycle,400 ALD cycles,methods section
10.1116_6.0002804::10.1116_6.0002804-E019::2,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1116_6.0002804,10.1116_6.0002804-E019,discrete_experimental_sweep,5,,N,pulse_time,1,s,at-H,direct,methods,method,pulse,pulse of 1s,methods section
10.1116_6.0002804::10.1116_6.0002804-E029::1,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1116_6.0002804,10.1116_6.0002804-E029,discrete_experimental_sweep,5,,C,pulse_time,1,s,MoCl2O2,direct,methods,method,pulse,pulse of 1s,methods section
10.1116_6.0002804::10.1116_6.0002804-E030::1,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1116_6.0002804,10.1116_6.0002804-E030,discrete_experimental_sweep,5,,N,pulse_time,1,s,MoCl2O2,direct,methods,method,pulse,pulse of 1s,methods section
10.3762_bjnano.14.89::10.3762_bjnano.14.89-E004::0,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.3762_bjnano.14.89,10.3762_bjnano.14.89-E004,continuous_trace,2,b,2-2-2-5 s,deposition_temperature,300,°C,,direct,methods,method,temperature,carried out at 300 °C,methods section
10.3762_bjnano.14.89::10.3762_bjnano.14.89-E013::1,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.3762_bjnano.14.89,10.3762_bjnano.14.89-E013,multi_output_measurement,8,a,250 °C,growth_per_cycle,0.27,nm/cycle,,direct,methods,method,gpc,0.27 nm/cycle,methods section
10.3762_bjnano.5.25::10.3762_bjnano.5.25-E003::0,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.3762_bjnano.5.25,10.3762_bjnano.5.25-E003,simulation,3,b,10^-4,pulse_time,50,ms,,direct,body,figure,pulse,exposure to the precursor of 50 ms,document.md near Fig 3
10.3762_bjnano.5.25::10.3762_bjnano.5.25-E011::2,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.3762_bjnano.5.25,10.3762_bjnano.5.25-E011,simulation,3,d,x_p ∝ √(D_k),purge_time,0.2,s,,direct,methods,method,purge,purge and two sequential 0.2 s,methods section
10.3762_bjnano.5.25::10.3762_bjnano.5.25-E014::0,series label,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.3762_bjnano.5.25,10.3762_bjnano.5.25-E014,simulation,5,a,10 cycles,cycle_number,10,cycles,,direct,series_label,series,cycle,10 cycles,series label '10 cycles' (axis 'cycle_number')
10.3762_bjnano.5.25::10.3762_bjnano.5.25-E015::1,caption panel clause,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.3762_bjnano.5.25,10.3762_bjnano.5.25-E015,simulation,5,a,20 cycles,pulse_time,50,ms,,direct,caption,panel,pulse,exposure time (50 ms,"figure 5 caption, panel (a)"
10.3762_bjnano.5.25::10.3762_bjnano.5.25-E016::1,caption panel clause,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.3762_bjnano.5.25,10.3762_bjnano.5.25-E016,simulation,5,a,30 cycles,pulse_time,50,ms,,direct,caption,panel,pulse,exposure time (50 ms,"figure 5 caption, panel (a)"
10.3762_bjnano.5.25::10.3762_bjnano.5.25-E024::0,series label,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.3762_bjnano.5.25,10.3762_bjnano.5.25-E024,simulation,5,b,10 cycles,cycle_number,10,cycles,,direct,series_label,series,cycle,10 cycles,series label '10 cycles' (axis 'cycle_number')
10.3762_bjnano.5.25::10.3762_bjnano.5.25-E034::0,series label,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.3762_bjnano.5.25,10.3762_bjnano.5.25-E034,experimental_profile,6,b,400 cycles,cycle_number,400,cycles,,direct,series_label,series,cycle,400 cycles,series label '400 cycles' (axis 'number of cycles')
10.3762_bjnano.5.25::10.3762_bjnano.5.25-E037::1,caption panel clause,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.3762_bjnano.5.25,10.3762_bjnano.5.25-E037,experimental_profile,6,c,200 cycles,pulse_time,0.2,s,,direct,caption,panel,pulse,exposure time was fixed at 0.2 s,"figure 6 caption, panel (c)"
